Highlight region,Use Me,City,Colors,Country,Customer Name,Discount,Latitude,Longitude,Make,Model Year,Model,Number of Records,Order ID,Price,Profit,Purchase Date,Region,State,Zip Code
False,New York City,New York City,Black,United States,Monique Nehlsen,0.34,40.8662,-73.9221,Infiniti,2016,FX,1,1,36033,1080,4/7/2017,East,New York,10034
True,Tucson,Tucson,Black,United States,Annelise Brettell,0.74,32.2138,-110.824,Volvo,2014,C70,1,3,80227,12132,9/2/2018,West,Arizona,85710
False,Tampa,Tampa,Red,United States,Baldwin Elloit,0.05,27.872,-82.4388,Volvo,2006,V70,1,7,28619,2993,8/8/2018,South,Florida,33694
False,Saint Louis,Saint Louis,Red,United States,Otis Smales,0.13,38.6531,-90.2435,Chevrolet,2008,S10,1,9,43112,928,2/11/2018,Central,Missouri,63150
False,Columbus,Columbus,Blue,United States,Fulton Zuppa,0.67,40.0028,-83.0164,Lexus,2016,IS,1,10,51388,18636,8/1/2015,East,Ohio,43210
False,Washington,Washington,Red,United States,Paxton Kennewell,0.61,38.8933,-77.0146,BMW,2017,Z4,1,11,81333,889,3/18/2016,East,District of Columbia,20409
False,Rochester,Rochester,Yellow,United States,Thurston Linkie,0.34,43.1367,-77.6481,Audi,2001,A4,1,12,61181,2866,12/7/2018,East,New York,14619
False,Tampa,Tampa,Blue,United States,Benny Basten,0.81,27.872,-82.4388,BMW,2014,6 Series,1,13,11724,3204,6/19/2016,South,Florida,33680
False,Dayton,Dayton,Blue,United States,Shandee Merrett,0.75,39.7505,-84.2686,Toyota,2013,Prius,1,14,25746,60878,3/20/2015,East,Ohio,45470
True,Las Vegas,Las Vegas,Black,United States,Kendre Gouldeby,0.26,36.0914,-115.0885,Chrysler,2005,LHS,1,15,23329,57165,6/30/2017,West,Nevada,89120
True,Inglewood,Inglewood,Green,United States,Heywood Danielovitch,0.75,33.7866,-118.2987,Mitsubishi,2003,Galant,1,16,69673,27769,4/17/2018,West,California,90310
False,San Antonio,San Antonio,Yellow,United States,Desirae Arstingall,0.53,29.4375,-98.4616,Hummer,2000,H1,1,18,35923,461,7/15/2015,South,Texas,78285
True,Anaheim,Anaheim,Blue,United States,Guthrie Annand,0.44,33.8356,-117.9132,Hyundai,2007,Sonata,1,19,90566,21406,9/25/2016,West,California,92825
False,Boston,Boston,Yellow,United States,Maegan Gritskov,0.16,42.3231,-71.0846,Lexus,2015,IS F,1,20,69524,22981,10/12/2015,East,Massachusetts,02119
False,Columbus,Columbus,Green,United States,Mose Dymott,0.1,32.491,-84.8741,Morgan,2011,Aero 8,1,21,63179,7733,12/18/2017,South,Georgia,31914
False,Augusta,Augusta,Red,United States,Timmi Brookton,0.72,33.386,-82.091,Dodge,2014,Viper,1,22,85669,7509,1/21/2015,South,Georgia,30919
False,Huntington,Huntington,Black,United States,Lilli Trippitt,0.16,38.4096,-82.369,Nissan,2014,GT-R,1,24,61997,20005,10/10/2016,East,West Virginia,25705
False,Detroit,Detroit,Black,United States,Cazzie Kettlestring,0.14,42.3749,-83.1087,GMC,2011,Savana Cargo Van,1,25,34643,3970,6/6/2016,East,Michigan,48206
True,Henderson,Henderson,Yellow,United States,Hillary Guiso,0.07,36.0384,-115.0857,BMW,2011,550,1,26,35216,10841,6/30/2016,West,Nevada,89074
False,Houston,Houston,Black,United States,Kathryn Goldsberry,0.5,29.834,-95.4342,Volkswagen,2014,Jetta,1,27,15964,12205,8/9/2015,South,Texas,77234
True,Fresno,Fresno,Yellow,United States,Desdemona Kovnot,0.76,36.7464,-119.6397,Lotus,2014,Elise,1,29,20755,43649,12/22/2017,West,California,93740
True,Boise,Boise,Yellow,United States,Kanya Peppett,0.74,43.5851,-116.2191,Ford,2005,Econoline E150,1,30,81941,17644,10/9/2017,West,Idaho,83705
True,Whittier,Whittier,Red,United States,Ginnifer Linke,0.85,33.7866,-118.2987,Mercedes-Benz,2010,C-Class,1,31,32013,9098,1/26/2016,West,California,90610
False,El Paso,El Paso,Yellow,United States,Valentina Bullocke,0.38,31.6948,-106.3,Toyota,2010,Avalon,1,33,64747,8795,6/19/2018,South,Texas,88546
False,Detroit,Detroit,Yellow,United States,Payton Looney,0.06,42.2719,-83.1545,Mercury,2006,Grand Marquis,1,34,29274,6241,3/8/2016,East,Michigan,48217
False,Columbia,Columbia,Red,United States,Shermie Oakey,0.14,34.0635,-81.0265,Suzuki,2012,Daewoo Lacetti,1,35,47962,269,7/25/2016,South,South Carolina,29203
False,Shreveport,Shreveport,Green,United States,Kimberli Ascough,0.86,32.6076,-93.7526,Ford,2017,F450,1,37,10778,7188,1/20/2017,South,Louisiana,71166
False,Atlanta,Atlanta,Black,United States,Charyl MacLucais,0.02,33.8444,-84.474,Mercedes-Benz,2006,SL-Class,1,38,20192,2110,8/18/2016,South,Georgia,30375
