Abbreviation,Profitable?,Profit Ratio,City,Column,Customer Name,Customer Segment,Discount,Number of Records,Order Date (copy),Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Row,Sales,Ship Date,Ship Mode,Shipping Cost,State (Extract),State,Unit Price,Zip Code
PA,False,-62%,McKeesport,9,Jessica Myrick,Small Business,0.1,1,1/1/2012,1/1/2012,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,East,4031,3,180.36,1/2/2012,Regular Air,4.69,Pennsylvania,Pennsylvania,5.98,15131
MD,False,-39%,Bowie,8.5,Matt Collister,Home Office,0.08,1,1/1/2012,1/1/2012,13729,Not Specified,9,,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,East,1914,4,872.48,1/3/2012,Express Air,35,Maryland,Maryland,95.99,20715
CA,False,-16%,Napa,2,Alan Schoenberger,Corporate,0,1,1/2/2012,1/2/2012,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,5272,5,1239.06,1/2/2012,Delivery Truck,48.8,California,California,291.73,94559
CA,True,+40%,Montebello,2,Elizabeth Moffitt,Consumer,0.08,1,1/2/2012,1/2/2012,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,West,6225,5,614.8,1/2/2012,Regular Air,1.97,California,California,15.04,90640
CA,False,-26%,Napa,2,Alan Schoenberger,Corporate,0.07,1,1/2/2012,1/2/2012,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,5273,5,4083.19,1/4/2012,Delivery Truck,45,California,California,100.98,94559
CA,True,+19%,Montebello,2,Elizabeth Moffitt,Consumer,0.09,1,1/2/2012,1/2/2012,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,West,6224,5,137.63,1/4/2012,Express Air,2.15,California,California,9.11,90640
MN,False,-10%,Prior Lake,4.5,David Philippe,Consumer,0.06,1,1/2/2012,1/2/2012,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,Central,1279,2,124.81,1/4/2012,Regular Air,2.99,Minnesota,Minnesota,40.98,55372
CA,True,+29%,Napa,2,Alan Schoenberger,Corporate,0.05,1,1/2/2012,1/2/2012,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,5274,5,4902.38,1/9/2012,Regular Air,7.07,California,California,155.06,94559
AL,False,-13%,Phenix City,7.5,Patrick Jones,Home Office,0.09,1,1/3/2012,1/3/2012,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,5705,6,698,1/4/2012,Delivery Truck,52.2,Alabama,Alabama,212.6,36869
UT,False,-56%,Draper,4,Larry Tron,Home Office,0.05,1,1/3/2012,1/3/2012,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,West,1336,5,262.76,1/4/2012,Regular Air,21.2,Utah,Utah,20.98,84020
AL,True,+7%,Phenix City,7.5,Patrick Jones,Home Office,0.03,1,1/3/2012,1/3/2012,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,5704,6,172.51,1/4/2012,Regular Air,2.99,Alabama,Alabama,5.58,36869
OR,True,+20%,Lake Oswego,1.5,Alex Russell,Home Office,0.03,1,1/3/2012,1/3/2012,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,West,1074,4,122.23,1/4/2012,Regular Air,1.2,Oregon,Oregon,4.26,97035
