Account Name,Activity Date,Activity ID,Activity Name,Calculation1,FTEs,Hours this week,Covid Work,Datasource Filter,Hours last week,Manager ID,Manager,Name,Number of Records,Presales Activity Detail,Presales Activity Type,Time to Complete
Sagittis Duis Inc.,1/23/2020,69D95657-7168-8DAC-B54D-8491D3FB12EE,nulla. Cras eu tellus eu,8,0.072282609,,No,Yes,,888977 4074,Neil K. Sherman,Gregory M. Lamb,1,General Help,Customer Success,9.5
Magna Tellus Faucibus Corp.,2/11/2020,52949CB4-2C75-166C-9EF2-8EC0C7087147,"elementum, lorem ut aliquam iaculis,",8.5,0.076086957,,No,Yes,,285623 6423,Noel W. Tillman,Lucian K. Mcdonald,1,Analytics,Customer Success,10
Donec Associates,1/21/2020,D0195E08-D625-74B4-104F-BC9D821B0477,Covid enim non nisi. Aenean eget,1.5,0.011413043,,Yes,Yes,,015806 3321,Dolan X. Russo,Odysseus I. Vincent,1,Analytics,Customer Success,1.5
Dictum Mi Ac Company,1/30/2020,30DCDC7E-A240-8ACE-D45F-F013AA3B0E47,"eleifend, nunc risus varius orci,",3.5,0.026630435,,No,Yes,,882602 5580,Caleb Q. Lott,Myles I. Nguyen,1,General Help,Customer Success,3.5
Urna Ltd,3/6/2020,A31A5CFA-3D0E-50C3-3C35-D1CD5808F56A,"non, feugiat nec, diam. Duis",3,0.022826087,,No,Yes,,423006 5775,Neil K. Sherman,Gregory M. Lamb,1,Training,Customer Success,3
Duis Dignissim Tempor LLP,2/26/2020,F426574E-2B5E-AF92-08C9-888FB4947A92,"Covid euismod et, commodo at, libero.",4,0.041847826,,Yes,Yes,,465495 6640,James Z. Garrett,Roanna B. Langley,1,Analytics,Customer Success,5.5
Suscipit Nonummy Fusce LLC,3/18/2020,F4B5E06F-B926-2095-6542-CDCDCBC519CC,"elementum at, egestas a, scelerisque",5,0.049456522,,No,Yes,,544863 3932,Mara Y. Mann,Ulla Q. Carr,1,Advanced Analysis,Customer Success,6.5
Metus Urna Convallis Limited,2/24/2020,7A7F472D-4B99-0A04-C0A9-1AB61CD41D39,faucibus orci luctus et ultrices,3.5,0.026630435,,No,Yes,,813590 0564,Zorita A. Byers,Jerome X. Wynn,1,Advanced Analysis,Customer Success,3.5
Nec Consulting,2/28/2020,A109C544-681B-1BA2-67A9-08D0EE73607B,"Covid amet, consectetuer adipiscing elit. Aliquam",4.5,0.045652174,,Yes,Yes,,375755 4930,Buffy Y. Flynn,Kelsey H. Daniel,1,Data Support,Customer Success,6
Adipiscing Consulting,1/16/2020,9F38EBAD-90D4-EBCB-8737-808B3E8AFC22,Phasellus ornare. Fusce mollis. Duis,6.5,0.060869565,,No,Yes,,033551 0962,Cherokee A. Oneal,Iris T. Rios,1,General Help,Customer Success,8
Suspendisse Sed Ltd,2/26/2020,F347475D-7BC5-4BB8-847F-30ACEDEE038A,Mauris magna. Duis dignissim tempor,7.5,0.068478261,,No,Yes,,783365 8938,August K. Schroeder,Hayfa M. Joyce,1,Training,Customer Success,9
Magna Sed PC,3/6/2020,E250AFA6-4695-4665-2AEA-CF771D5E5514,Covid augue ac ipsum. Phasellus vitae,1,0.007608696,,Yes,Yes,,145378 5600,Lael W. Moore,Mollie Q. Morgan,1,Training,Customer Success,1
Nulla Industries,3/25/2020,D8CEF6B6-5C9E-C4CB-659F-719191DC6DB2,Covid Pellentesque ut ipsum ac mi,4,0.030434783,,Yes,Yes,4,445485 4938,Hashim E. Delacruz,Garrison Y. Hahn,1,Training,Customer Success,4
A Tortor Industries,2/11/2020,F3607045-79D7-28A2-15C2-5F30AD6C17E7,amet ante. Vivamus non lorem,3,0.034239130,,No,Yes,,858732 1855,August K. Schroeder,Kylie Y. Mendez,1,General Help,Customer Success,4.5
Dictum Corp.,1/3/2020,B882D668-07D0-9768-967D-BE4EBE1F5A99,mauris blandit mattis. Cras eget,4.5,0.045652174,,No,Yes,,166747 1591,Declan D. Puckett,Quail S. Curtis,1,General Help,Customer Success,6
Lorem Tristique Corp.,1/25/2020,1AEA401D-48E1-7499-3666-EB56DD07009F,"elit pede, malesuada vel, venenatis",6.5,0.060869565,,No,Yes,,285568 2288,Tasha V. Sellers,Dolan J. Mayo,1,General Help,Customer Success,8
Urna Vivamus Company,1/17/2020,BC5BB2E5-C5CA-795E-F631-4C9AD98F4CDC,a mi fringilla mi lacinia,3.5,0.038043478,,No,Yes,,435924 8947,Tyrone Z. Pollard,Britanni M. Henry,1,Analytics,Customer Success,5
Cras Vehicula Aliquet LLC,1/8/2020,16B7C739-9AB5-C452-95E0-273859276F45,"Covid sed consequat auctor, nunc nulla",7.5,0.068478261,,Yes,Yes,,568160 9474,Dolan X. Russo,Audrey I. Kirby,1,Data Support,Customer Success,9
Nulla Eu Foundation,3/10/2020,1190BD59-3DB5-A016-B76E-E269E512A20A,Covid ipsum. Donec sollicitudin adipiscing ligula.,6,0.057065217,,Yes,Yes,,828523 2206,Kalia T. West,Lee L. Mercado,1,General Help,Customer Success,7.5
Magna LLC,2/10/2020,18D51428-217D-D027-7E90-14B1DD12011A,varius. Nam porttitor scelerisque neque.,3.5,0.038043478,,No,Yes,,028180 7446,Kaden A. Chase,Ifeoma Z. Summers,1,Analytics,Customer Success,5
Orci Quis Lectus Corporation,1/24/2020,7DA1C75B-AD47-6773-CBAF-3C5CB78F5C73,"ornare, elit elit fermentum risus,",6.5,0.060869565,,No,Yes,,228436 9069,Luke D. Tyson,Adrienne W. May,1,General Help,Customer Success,8
Auctor Foundation,3/11/2020,F35E3535-CEF1-250F-8E86-AFBC9023997C,ante dictum cursus. Nunc mauris,3.5,0.038043478,,No,Yes,,955828 1201,Elliott C. Ortiz,Yuli L. Santana,1,Analytics,Customer Success,5
Nunc Nulla Consulting,1/23/2020,A4B59F14-5AE2-863A-34B1-9C91E2F1DA4B,feugiat. Lorem ipsum dolor sit,3,0.034239130,,No,Yes,,602328 0123,Hadley J. Noel,Audrey M. Carey,1,General Help,Customer Success,4.5
Libero Donec Corporation,3/6/2020,4B6C9B99-90AC-7E18-EBAB-72C4FA70D991,enim. Etiam gravida molestie arcu.,6.5,0.060869565,,No,Yes,,583110 3626,Elliott C. Ortiz,Nathaniel K. Burton,1,Training,Customer Success,8
Curabitur Consequat Lectus Industries,2/11/2020,8D604BF8-FE56-B21C-35A3-06A18C99EF6B,enim. Etiam gravida molestie arcu.,1.5,0.011413043,,No,Yes,,719200 6380,Luke D. Tyson,Audra X. Alford,1,Data Support,Customer Success,1.5
Hendrerit Institute,3/23/2020,5F25BAE0-DA89-9D88-0729-94B303DF11E6,ac turpis egestas. Aliquam fringilla,3.5,0.026630435,,No,Yes,3.5,192720 6654,Kelly C. Monroe,Grace A. Norman,1,General Help,Customer Success,3.5
Nulla Integer Vulputate Institute,2/28/2020,6526F7F3-21F0-E3EA-1F23-DF12BB094B53,"Covid quis, tristique ac, eleifend vitae,",3,0.034239130,,Yes,Yes,,985084 7816,Kyra C. Burnett,Solomon F. Hansen,1,Analytics,Customer Success,4.5
Sodales Nisi Magna Company,2/10/2020,F48CA0BE-8488-0599-D976-A3C919D945AC,"nisl arcu iaculis enim, sit",5.5,0.053260870,,No,Yes,,208150 7069,May R. Henderson,Maxwell P. Cole,1,Analytics,Customer Success,7
A Ultricies Incorporated,1/28/2020,65035812-438D-9CD5-8766-7ABD92A5377C,ac ipsum. Phasellus vitae mauris,1.5,0.011413043,,No,Yes,,792446 0285,May R. Henderson,Keaton Z. Calderon,1,Analytics,Customer Success,1.5
Suscipit Nonummy Fusce LLC,2/4/2020,861A2BB9-E526-868C-C86D-1FC57C4A4896,justo nec ante. Maecenas mi,7.5,0.068478261,,No,Yes,,587985 9162,Mara Y. Mann,Ulla Q. Carr,1,Data Support,Customer Success,9
Tempor Est Ac LLP,1/14/2020,91907B0A-1850-DA5B-5C64-D8460BBEFC98,ut eros non enim commodo,3,0.034239130,,No,Yes,,875338 1642,James Z. Garrett,Roanna B. Langley,1,Advanced Analysis,Customer Success,4.5
Arcu Et Associates,2/13/2020,CCF2EDAB-CA96-30E3-1C54-9ADE884ADA68,"sed dui. Fusce aliquam, enim",3.5,0.038043478,,No,Yes,,799013 6215,Elliott C. Ortiz,Yuli L. Santana,1,Training,Customer Success,5
Mus Aenean LLP,3/20/2020,FC3230CE-2038-0C9D-93DC-0760D7239C5C,Covid eleifend. Cras sed leo. Cras,5.5,0.053260870,,Yes,Yes,,193242 2445,Lael W. Moore,Mollie Q. Morgan,1,Analytics,Customer Success,7
Massa Integer Consulting,3/2/2020,B523BF4C-0E98-3802-AA7E-529501A8AB90,"Fusce dolor quam, elementum at,",8.5,0.076086957,,No,Yes,,092938 4113,Mikayla K. Moore,Gretchen H. Rojas,1,Advanced Analysis,Customer Success,10
Libero Nec Ligula LLP,1/27/2020,E429C8CB-6731-2428-7DB9-2A706EFA85A8,Aliquam erat volutpat. Nulla facilisis.,8,0.072282609,,No,Yes,,156769 6693,Mikayla K. Moore,Olivia G. Lamb,1,General Help,Customer Success,9.5
Euismod Enim Etiam LLC,2/28/2020,08B1E833-49F7-B426-BA68-440141679142,amet metus. Aliquam erat volutpat.,6.5,0.060869565,,No,Yes,,656640 7091,Kelly C. Monroe,Grace A. Norman,1,Analytics,Customer Success,8
Faucibus Morbi Incorporated,1/17/2020,0EB32BDF-F9C8-4FA6-146A-A08E24B7A110,"sit amet, consectetuer adipiscing elit.",2,0.015217391,,No,Yes,,619099 6790,Declan D. Puckett,Quail S. Curtis,1,General Help,Customer Success,2
Curabitur Corp.,1/21/2020,0A245A89-1870-551C-CE88-204565CEA5CA,Vestibulum ut eros non enim,5.5,0.053260870,,No,Yes,,856276 4327,Zorita A. Byers,Susan T. Warren,1,Training,Customer Success,7
Id Sapien Cras Company,2/13/2020,89AE0ACB-8201-40E3-05ED-CB5959A1743B,"auctor non, feugiat nec, diam.",6.5,0.060869565,,No,Yes,,555523 3310,Dolan X. Russo,Stacy E. Espinoza,1,General Help,Customer Success,8
Odio Corp.,3/4/2020,85E774EC-FA29-C10E-3890-0B801EA7B854,mattis velit justo nec ante.,7.5,0.068478261,,No,Yes,,025920 3511,Zorita A. Byers,Jerome X. Wynn,1,Advanced Analysis,Customer Success,9
Netus Institute,3/17/2020,3D07EEF2-3BC1-0C38-B428-4C5F433E6A43,magna nec quam. Curabitur vel,4,0.041847826,,No,Yes,,558639 3455,Elliott C. Ortiz,Yuli L. Santana,1,Training,Customer Success,5.5
Nunc Mauris Ltd,3/3/2020,6735D0C9-DB4B-12BA-1735-1E32571FC4B6,Covid dictum. Proin eget odio. Aliquam,7.5,0.068478261,,Yes,Yes,,994396 0295,Tasha V. Sellers,Dolan J. Mayo,1,Training,Customer Success,9
Fringilla Cursus PC,3/11/2020,D29BE8B5-9E7E-CDED-D367-DC3EF7C5FF4B,malesuada. Integer id magna et,6.5,0.060869565,,No,Yes,,208781 6316,Tasha V. Sellers,Phelan J. Garner,1,General Help,Customer Success,8
Ut Tincidunt LLP,1/27/2020,34C8E8F2-D74F-61B0-7128-8E376F1115C9,"mi. Duis risus odio, auctor",9,0.079891304,,No,Yes,,188017 3560,Elliott C. Ortiz,Nathaniel K. Burton,1,General Help,Customer Success,10.5
